case_id,task,resource,start_time,completion_time
Intervention Loaded945,Intervention Loaded,,2020-01-01 00:09:27.000000,2020-01-01 00:09:27.000000
Intervention Loaded946,Intervention Loaded,,2020-01-01 00:09:27.600000,2020-01-01 00:09:27.600000
Intervention Loaded947,Intervention Loaded,,2020-01-01 00:09:28.200000,2020-01-01 00:09:28.200000
Intervention Loaded948,Intervention Loaded,,2020-01-01 00:09:28.800000,2020-01-01 00:09:28.800000
Intervention Loaded949,Intervention Loaded,,2020-01-01 00:09:29.400000,2020-01-01 00:09:29.400000
Intervention Loaded950,Intervention Loaded,,2020-01-01 00:09:30.000000,2020-01-01 00:09:30.000000
Intervention Loaded951,Intervention Loaded,,2020-01-01 00:09:30.600000,2020-01-01 00:09:30.600000
Intervention Loaded952,Intervention Loaded,,2020-01-01 00:09:31.200000,2020-01-01 00:09:31.200000
Intervention Loaded953,Intervention Loaded,,2020-01-01 00:09:31.800000,2020-01-01 00:09:31.800000
Intervention Loaded954,Intervention Loaded,,2020-01-01 00:09:32.400000,2020-01-01 00:09:32.400000
Intervention Loaded955,Intervention Loaded,,2020-01-01 00:09:33.000000,2020-01-01 00:09:33.000000
Intervention Loaded956,Intervention Loaded,,2020-01-01 00:09:33.600000,2020-01-01 00:09:33.600000
Intervention Loaded957,Intervention Loaded,,2020-01-01 00:09:34.200000,2020-01-01 00:09:34.200000
Intervention Loaded958,Intervention Loaded,,2020-01-01 00:09:34.800000,2020-01-01 00:09:34.800000
Intervention Loaded959,Intervention Loaded,,2020-01-01 00:09:35.400000,2020-01-01 00:09:35.400000
Intervention Loaded960,Intervention Loaded,,2020-01-01 00:09:36.000000,2020-01-01 00:09:36.000000
Intervention Loaded961,Intervention Loaded,,2020-01-01 00:09:36.600000,2020-01-01 00:09:36.600000
Intervention Loaded962,Intervention Loaded,,2020-01-01 00:09:37.200000,2020-01-01 00:09:37.200000
Intervention Loaded963,Intervention Loaded,,2020-01-01 00:09:37.800000,2020-01-01 00:09:37.800000
